MODEL_CODE,MODEL_MARKETING_NAME,PRODUCT_LINE,PRODUCT_LINE_DESCRIPTION,PRODUCT_CATEGORY,PRODUCT_SUBCATEGORY,MODEL_YEAR,MODEL_COLOR_NAME,STATE_COMPLIANCE,VISIBILITY_INDICATOR,VISIBILITY_DATE,VISIBILITY_TIME
SH50N-R,RIVA RAZZ,1610,Scooter,,,2001,NONE,,X,06/06/2000 00:00:00,0
SH50N-V,RIVA RAZZ,1610,Scooter,,,2001,NONE,,X,06/06/2000 00:00:00,0
SJ700AY,SUPERJET,1820,WATER VEHICLES,WaveRunner,ONE PASSENGER,2000,NONE,,X,12/10/1999 00:00:00,0
SJ700AZ,SUPERJET,1820,WATER VEHICLES,WaveRunner,ONE PASSENGER,2001,NONE,,X,08/04/2000 00:00:00,0
SJ700B-A,SUPERJET,1820,WATER VEHICLES,WaveRunner,ONE PASSENGER,2002,NONE,,X,08/17/2001 00:00:00,0
SJ700B-B,SUPERJET,1820,WATER VEHICLES,WaveRunner,ONE PASSENGER,2003,NONE,,X,08/07/2002 00:00:00,0
SJ700B-C,SUPERJET,1820,WATER VEHICLES,WaveRunner,ONE PASSENGER,2004,NONE,,X,08/06/2003 00:00:00,0
F100TLRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
F100TLRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
F100TLRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
F100TLRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
F100TLRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/10/2002 00:00:00,0
F100TLRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/10/2002 00:00:00,0
F100TXRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
F100TXRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
F100TXRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
F100TXRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
F100TXRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/10/2002 00:00:00,0
F100TXRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/10/2002 00:00:00,0
F115TJRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
F115TJRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
F115TJRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2003,NONE,,,08/06/2002 00:00:00,0
F115TJRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2003,NONE,,,08/06/2002 00:00:00,0
F115TJRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2004,NONE,,,07/01/2003 00:00:00,0
F115TJRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2004,NONE,,,07/01/2003 00:00:00,0
F115TJRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F115TJRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F115TLRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
F115TLRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
F115TLRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2003,NONE,,,08/06/2002 00:00:00,0
F115TLRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2003,NONE,,,08/06/2002 00:00:00,0
F115TLRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F115TLRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F115TLRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
F115TLRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
F115TLRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/10/2002 00:00:00,0
F115TLRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/10/2002 00:00:00,0
F115TXRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
F115TXRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
F115TXRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2003,NONE,,,08/06/2002 00:00:00,0
F115TXRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2003,NONE,,,08/06/2002 00:00:00,0
F115TXRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2004,NONE,,,07/01/2003 00:00:00,0
F115TXRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2004,NONE,,,07/01/2003 00:00:00,0
F115TXRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F115TXRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F115TXRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/10/2002 00:00:00,0
F115TXRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/10/2002 00:00:00,0
F150TLRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2004,NONE,,,07/01/2003 00:00:00,0
F150TLRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2004,NONE,,,07/01/2003 00:00:00,0
F150TLRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F150TLRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F150TXRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2004,NONE,,,07/01/2003 00:00:00,0
F150TXRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2004,NONE,,,07/01/2003 00:00:00,0
F150TXRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F150TXRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F15ELHA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2002,NONE,,,07/01/2001 00:00:00,0
F15ELHA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2002,NONE,,,07/01/2001 00:00:00,0
F15ELHB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2003,NONE,,,08/06/2002 00:00:00,0
F15ELHB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2003,NONE,,,08/06/2002 00:00:00,0
F15ELHC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2004,NONE,,,07/01/2003 00:00:00,0
F15ELHC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2004,NONE,,,07/01/2003 00:00:00,0
F15ELHD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F15ELHD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F15ELHY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2000,NONE,,,04/03/2001 00:00:00,0
F15ELHY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2000,NONE,,,04/03/2001 00:00:00,0
F15ELHZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2001,NONE,,,10/10/2002 00:00:00,0
F15ELHZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2001,NONE,,,10/10/2002 00:00:00,0
F15ESHA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2002,NONE,,,07/01/2001 00:00:00,0
F15ESHA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2002,NONE,,,07/01/2001 00:00:00,0
F15ESHB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2003,NONE,,,07/01/2002 00:00:00,0
F15ESHB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2003,NONE,,,07/01/2002 00:00:00,0
F15ESHC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2004,NONE,,,07/01/2003 00:00:00,0
F15ESHC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2004,NONE,,,07/01/2003 00:00:00,0
F15ESHD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F15ESHD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F15ESHY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2000,NONE,,,04/03/2001 00:00:00,0
F15ESHY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2000,NONE,,,04/03/2001 00:00:00,0
F15ESHZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2001,NONE,,,10/10/2002 00:00:00,0
F15ESHZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2001,NONE,,,10/10/2002 00:00:00,0
F15MLHA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2002,NONE,,,07/01/2001 00:00:00,0
F15MLHA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2002,NONE,,,07/01/2001 00:00:00,0
F15MLHB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2003,NONE,,,08/06/2002 00:00:00,0
F15MLHB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2003,NONE,,,08/06/2002 00:00:00,0
F15MLHC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2004,NONE,,,07/01/2003 00:00:00,0
F15MLHC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2004,NONE,,,07/01/2003 00:00:00,0
F15MLHD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F15MLHD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F15MLHY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2000,NONE,,,04/03/2001 00:00:00,0
F15MLHY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2000,NONE,,,04/03/2001 00:00:00,0
F15MLHZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2001,NONE,,,10/10/2002 00:00:00,0
F15MLHZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2001,NONE,,,10/10/2002 00:00:00,0
F15MSHA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2002,NONE,,,07/01/2001 00:00:00,0
F15MSHA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2002,NONE,,,07/01/2001 00:00:00,0
F15MSHB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2003,NONE,,,08/06/2002 00:00:00,0
F15MSHB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2003,NONE,,,08/06/2002 00:00:00,0
F15MSHC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2004,NONE,,,07/01/2003 00:00:00,0
F15MSHC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,2-25 HP,2004,NONE,,,07/01/2003 00:00:00,0
F15MSHD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
F15MSHD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
115TJRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
115TJRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
115TJRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/11/2002 00:00:00,0
115TJRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/11/2002 00:00:00,0
115TLRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
115TLRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
115TLRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2003,NONE,,,08/06/2002 00:00:00,0
115TLRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2003,NONE,,,08/06/2002 00:00:00,0
115TLRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2004,NONE,,,07/01/2003 00:00:00,0
115TLRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2004,NONE,,,07/01/2003 00:00:00,0
115TLRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
115TLRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
115TLRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
115TLRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/11/2002 00:00:00,0
115TLRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/11/2002 00:00:00,0
115TXRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
115TXRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2002,NONE,,,07/01/2001 00:00:00,0
115TXRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2003,NONE,,,08/06/2002 00:00:00,0
115TXRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2004,NONE,,,07/01/2003 00:00:00,0
115TXRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
115TXRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
115TXRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/03/2001 00:00:00,0
115TXRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2001,NONE,,,10/11/2002 00:00:00,0
