Opportunity__c,Variable__c,Value__c,Start_Date__c,Start_Date_Filter__c,Period__c,Is_Test_Record__c,View_Type__c
006B0000003B8QrIAK,A_StartPipe,40000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8QwIAK,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8R1IAK,A_StartPipe,20500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8R6IAK,A_StartPipe,60000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RGIA0,A_StartPipe,14999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B2JyIAK,A_StartPipe,65000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iMIAQ,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RBIA0,A_StartPipe,14999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iBIAQ,A_StartPipe,100000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMeIAK,A_StartPipe,20833,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RLIA0,A_StartPipe,130000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002nBrQIAU,A_StartPipe,42500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iAIAQ,A_StartPipe,75000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iCIAQ,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iEIAQ,A_StartPipe,46250,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iGIAQ,A_StartPipe,15000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iHIAQ,A_StartPipe,25200,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ne39IAA,A_StartPipe,10500,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000038tf5IAA,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AsUAIA0,A_StartPipe,25000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8OcIAK,A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iFIAQ,A_StartPipe,110000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iIIAQ,A_StartPipe,23750,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iJIAQ,A_StartPipe,19565,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iKIAQ,A_StartPipe,31250,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iLIAQ,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iPIAQ,A_StartPipe,27000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iQIAQ,A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iRIAQ,A_StartPipe,200000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iSIAQ,A_StartPipe,24167,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ndnkIAA,A_StartPipe,40000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iDIAQ,A_StartPipe,14999,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000039F8TIAU,A_StartPipe,14800,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000039F8iIAE,A_StartPipe,25000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002wMt7IAE,A_StartPipe,25000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyKzIAK,A_StartPipe,225000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMPIA0,A_StartPipe,54500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMUIA0,A_StartPipe,400000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMZIA0,A_StartPipe,55000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMjIAK,A_StartPipe,13500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMoIAK,A_StartPipe,16000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMtIAK,A_StartPipe,14000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMyIAK,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyN3IAK,A_StartPipe,168000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyN8IAK,A_StartPipe,25000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0i9IAA,A_StartPipe,400000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ndnuIAA,A_StartPipe,16667,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iNIAQ,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iOIAQ,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ndnpIAA,A_StartPipe,25000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8OhIAK,A_StartPipe,1,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8QmIAK,A_StartPipe,42500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8QrIAK,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8QwIAK,A_StartPipe,250000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8R1IAK,A_StartPipe,10500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8R6IAK,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RGIA0,A_StartPipe,100000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B2JyIAK,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iMIAQ,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RBIA0,A_StartPipe,14999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iBIAQ,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMeIAK,A_StartPipe,14999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RLIA0,A_StartPipe,9000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002nBrQIAU,A_StartPipe,100000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iAIAQ,A_StartPipe,20000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iCIAQ,A_StartPipe,15000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iEIAQ,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iGIAQ,A_StartPipe,9999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iHIAQ,A_StartPipe,85000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ne39IAA,A_StartPipe,18000,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000038tf5IAA,A_StartPipe,19499,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AsUAIA0,A_StartPipe,9000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8OcIAK,A_StartPipe,42500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iFIAQ,A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iIIAQ,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iJIAQ,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iKIAQ,A_StartPipe,81000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iLIAQ,A_StartPipe,15500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iPIAQ,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iQIAQ,A_StartPipe,19999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iRIAQ,A_StartPipe,20500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iSIAQ,A_StartPipe,19999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ndnkIAA,A_StartPipe,35999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iDIAQ,A_StartPipe,14999,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000039F8TIAU,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000039F8iIAE,A_StartPipe,100000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002wMt7IAE,A_StartPipe,75000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyKzIAK,A_StartPipe,12000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMPIA0,A_StartPipe,8000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMUIA0,A_StartPipe,200000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMZIA0,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMjIAK,A_StartPipe,65000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMoIAK,A_StartPipe,32000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMtIAK,A_StartPipe,75000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMyIAK,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyN3IAK,A_StartPipe,62333,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyN8IAK,A_StartPipe,33333,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0i9IAA,A_StartPipe,45000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ndnuIAA,A_StartPipe,7800,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iNIAQ,A_StartPipe,115000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iOIAQ,A_StartPipe,275000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ndnpIAA,A_StartPipe,120000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8OhIAK,A_StartPipe,80000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8QmIAK,A_StartPipe,61000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8QrIAK,A_StartPipe,47667,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8QwIAK,A_StartPipe,24000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8R1IAK,A_StartPipe,131818,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8R6IAK,A_StartPipe,150000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RGIA0,A_StartPipe,30978,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B2JyIAK,A_StartPipe,47900,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iMIAQ,A_StartPipe,666080,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RBIA0,A_StartPipe,13333,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iBIAQ,A_StartPipe,37000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMeIAK,A_StartPipe,42361,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RLIA0,A_StartPipe,4876,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002nBrQIAU,A_StartPipe,25000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iAIAQ,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iCIAQ,A_StartPipe,14999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iEIAQ,A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iGIAQ,A_StartPipe,100000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iHIAQ,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ne39IAA,A_StartPipe,52500,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000038tf5IAA,A_StartPipe,48125,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AsUAIA0,A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8OcIAK,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iFIAQ,A_StartPipe,7000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iIIAQ,A_StartPipe,24850,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iJIAQ,A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iKIAQ,A_StartPipe,3000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iLIAQ,A_StartPipe,15000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iPIAQ,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iQIAQ,A_StartPipe,22500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iRIAQ,A_StartPipe,13750,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iSIAQ,A_StartPipe,100000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ndnkIAA,A_StartPipe,22500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iDIAQ,A_StartPipe,60000,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000039F8TIAU,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000039F8iIAE,A_StartPipe,40500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002wMt7IAE,A_StartPipe,100000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyKzIAK,A_StartPipe,19999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMPIA0,A_StartPipe,300000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMUIA0,A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMZIA0,A_StartPipe,3000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMjIAK,A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMoIAK,A_StartPipe,55000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMtIAK,A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMyIAK,A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyN3IAK,A_StartPipe,77929,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyN8IAK,A_StartPipe,55000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0i9IAA,A_StartPipe,20000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ndnuIAA,A_StartPipe,75000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iNIAQ,A_StartPipe,14999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iOIAQ,A_StartPipe,45000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ndnpIAA,A_StartPipe,14999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8OhIAK,A_StartPipe,18500,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8QmIAK,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8QrIAK,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8QwIAK,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8R1IAK,A_StartPipe,35000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8R6IAK,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RGIA0,A_StartPipe,19999,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B2JyIAK,A_StartPipe,150000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iMIAQ,A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RBIA0,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iBIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMeIAK,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8RLIA0,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002nBrQIAU,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iAIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iCIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iEIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iGIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iHIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ne39IAA,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000038tf5IAA,A_StartPipe,150000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AsUAIA0,A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003B8OcIAK,A_StartPipe,45000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iFIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iIIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iJIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iKIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iLIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iPIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iQIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iRIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iSIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002ndnkIAA,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002n0iDIAQ,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000039F8TIAU,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B00000039F8iIAE,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000002wMt7IAE,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyKzIAK,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMPIA0,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMUIA0,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMZIA0,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMjIAK,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMoIAK,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
006B0000003AyMtIAK,A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
